범죄대분류,범죄중분류,단독범,학교동창,교도소동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,미상
강력범죄,살인기수,307,1,1,2,10,0,6,0,4,29,19
강력범죄,살인미수등,554,1,0,9,0,0,7,4,1,18,22
강력범죄,강도,770,61,26,36,21,0,343,46,28,269,116
강력범죄,강간,5084,137,2,8,10,1,220,35,9,118,205
강력범죄,유사강간,567,8,0,2,0,0,6,0,0,7,8
강력범죄,강제추행,15476,78,2,52,11,6,85,8,2,100,196
강력범죄,기타 강간 강제추행등,434,22,1,6,0,0,18,5,3,25,7
강력범죄,방화,1223,38,0,20,0,0,41,5,3,34,32
폭력범죄,상해,60761,365,4,463,459,2,963,267,126,1233,1052
폭력범죄,폭행,198838,573,3,643,875,8,1451,216,222,2061,11967
폭력범죄,체포 감금,1111,10,10,21,44,0,69,10,15,134,263
폭력범죄,협박,15531,25,0,40,63,1,62,19,11,271,802
폭력범죄,약취 유인,158,3,0,3,32,0,18,1,0,48,42
폭력범죄,폭력행위등,5325,3964,40,4067,2961,31,9440,1309,778,7277,5771
폭력범죄,공갈,2434,120,3,57,35,0,220,26,17,261,465
폭력범죄,손괴,32450,147,0,230,144,1,214,27,38,540,1204
지능범죄,직무유기,286,2,0,35,0,0,2,0,0,23,294
지능범죄,직권남용,202,0,0,16,0,0,0,0,0,30,329
지능범죄,증수뢰,336,5,0,72,3,1,4,10,0,253,104
지능범죄,통화,71,9,0,0,0,0,24,4,3,21,88
지능범죄,문서 인장,10177,273,3,415,221,4,312,61,44,1501,5013
지능범죄,유가증권인지,156,2,0,7,14,0,1,4,0,42,147
지능범죄,사기,136847,772,174,3536,1819,45,4052,770,736,18253,56206
지능범죄,횡령,24934,251,7,667,348,3,362,60,96,1471,7384
지능범죄,배임,2987,5,0,417,89,0,17,6,8,792,3287
풍속범죄,성풍속범죄,10613,72,0,42,10,0,55,6,23,212,174
풍속범죄,도박범죄,14462,159,3,2048,102,16,5499,756,27,9519,1351
특별경제범죄,특별경제범죄,51966,174,13,2268,660,13,1033,252,154,8916,12220
마약범죄,마약범죄,5756,23,70,126,56,1,430,169,230,1208,374
보건범죄,보건범죄,13684,6,2,1589,203,0,111,40,22,4595,1397
환경범죄,환경범죄,3028,0,0,131,12,0,22,4,2,423,180
교통범죄,교통범죄,546238,213,0,357,106,0,568,61,105,2261,5443
노동범죄,노동범죄,3091,8,0,739,221,1,51,9,4,1537,199
안보범죄,안보범죄,49,1,0,2,5,0,3,2,0,25,64
선거범죄,선거범죄,759,5,0,45,14,0,28,7,2,403,262
병역범죄,병역범죄,15204,0,0,0,3,0,1,0,0,65,386
기타범죄,기타범죄,229429,989,28,7419,2399,22,3149,759,566,37791,28319
