,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간 강제추행등,방화,상해,폭행,체포 감금,협박,약취 유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서 인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
단독범,307,554,770,5084,567,15476,434,1223,60761,198838,1111,15531,158,5325,2434,32450,286,202,336,71,10177,156,136847,24934,2987,10613,14462,51966,5756,13684,3028,546238,3091,49,759,15204,229429
학교동창,1,1,61,137,8,78,22,38,365,573,10,25,3,3964,120,147,2,0,5,9,273,2,772,251,5,72,159,174,23,6,0,213,8,1,5,0,989
교도소동료,1,0,26,2,0,2,1,0,4,3,10,0,0,40,3,0,0,0,0,0,3,0,174,7,0,0,3,13,70,2,0,0,0,0,0,0,28
직장동료,2,9,36,8,2,52,6,20,463,643,21,40,3,4067,57,230,35,16,72,0,415,7,3536,667,417,42,2048,2268,126,1589,131,357,739,2,45,0,7419
친인척,10,0,21,10,0,11,0,0,459,875,44,63,32,2961,35,144,0,0,3,0,221,14,1819,348,89,10,102,660,56,203,12,106,221,5,14,3,2399
군동료,0,0,0,1,0,6,0,0,2,8,0,1,0,31,0,1,0,0,1,0,4,0,45,3,0,0,16,13,1,0,0,0,1,0,0,0,22
동네친구,6,7,343,220,6,85,18,41,963,1451,69,62,18,9440,220,214,2,0,4,24,312,1,4052,362,17,55,5499,1033,430,111,22,568,51,3,28,1,3149
고향친구,0,4,46,35,0,8,5,5,267,216,10,19,1,1309,26,27,0,0,10,4,61,4,770,60,6,6,756,252,169,40,4,61,9,2,7,0,759
애인,4,1,28,9,0,2,3,3,126,222,15,11,0,778,17,38,0,0,0,3,44,0,736,96,8,23,27,154,230,22,2,105,4,0,2,0,566
기타,29,18,269,118,7,100,25,34,1233,2061,134,271,48,7277,261,540,23,30,253,21,1501,42,18253,1471,792,212,9519,8916,1208,4595,423,2261,1537,25,403,65,37791
미상,19,22,116,205,8,196,7,32,1052,11967,263,802,42,5771,465,1204,294,329,104,88,5013,147,56206,7384,3287,174,1351,12220,374,1397,180,5443,199,64,262,386,28319
