범죄대분류,범죄중분류,생활비,유흥비,도박비,허영사치심,치부,기타,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타1,미분류
강력범죄,살인기수,1,6,0,2,5,22,0,0,51,0,0,147,15,2,118,77
강력범죄,살인미수등,0,0,0,0,2,33,0,0,44,0,1,255,38,3,183,51
강력범죄,강도,631,439,24,9,7,347,53,1,15,16,37,642,27,16,805,253
강력범죄,강간강제추행,62,19,4,1,33,909,22,4,30,1026,974,5868,74,260,4614,4112
강력범죄,방화,6,0,0,0,1,69,2,1,97,62,0,547,124,40,339,104
절도범죄,절도범죄,12085,5564,146,488,253,11152,2023,12,74,5583,3251,29104,304,2342,24599,7454
폭력범죄,상해,26,6,2,4,6,1726,42,18,1666,27,17,50503,1407,1035,22212,6153
폭력범죄,폭행,43,15,1,4,5,1966,51,117,1724,45,24,55814,1840,1383,24953,79990
폭력범죄,체포감금,7,1,0,0,1,56,2,0,17,1,3,283,17,10,265,450
폭력범죄,협박,14,3,0,0,0,149,10,11,115,16,16,1255,123,35,1047,1938
폭력범죄,약취유인,22,7,0,0,0,21,0,0,3,8,15,30,6,0,84,74
폭력범죄,폭력행위등,711,1125,12,65,75,3863,266,42,937,275,181,52784,1879,1319,29067,13655
폭력범죄,공갈,317,456,12,51,17,787,116,1,1,51,51,969,76,53,1769,728
폭력범죄,손괴,20,4,0,1,3,787,17,8,346,61,11,15196,873,817,8068,3419
지능범죄,직무유기,0,1,0,0,0,8,0,0,0,0,0,0,0,18,165,631
지능범죄,직권남용,1,0,0,0,0,10,0,0,0,0,0,1,0,12,68,317
지능범죄,증수뢰,25,1,1,2,5,169,1,0,0,0,10,4,0,21,422,171
지능범죄,통화,15,11,0,1,1,18,0,0,0,6,2,5,0,2,44,58
지능범죄,문서인장,454,33,8,10,37,1112,165,0,16,684,159,489,28,728,6732,8824
지능범죄,유가증권인지,23,1,0,0,2,36,3,0,0,0,0,3,0,11,153,401
지능범죄,사기,12518,2307,418,225,689,12170,2520,17,47,292,664,3195,193,4075,60689,120868
지능범죄,횡령,1370,174,58,34,86,1671,341,3,10,358,264,1273,23,668,8697,14477
지능범죄,배임,112,4,4,0,30,351,29,0,0,2,16,27,1,145,1969,4820
풍속범죄,성풍속범죄,754,29,1,6,12,1236,100,2,114,1898,312,1051,60,1266,6712,2768
풍속범죄,도박범죄,1005,367,404,32,111,3015,12969,4,8,590,391,2116,9,737,11167,1659
특별경제범죄,특별경제범죄,5313,91,17,28,293,5861,507,31,75,720,194,9002,1206,6816,33508,29765
마약범죄,마약범죄,57,5,0,1,2,252,19,3,6,399,758,223,39,336,2195,436
보건범죄,보건범죄,2723,10,6,4,63,1249,140,1,6,5,56,225,6,2160,10661,2216
환경범죄,환경범죄,122,1,0,2,1,226,2,0,0,15,3,40,3,756,1574,450
교통범죄,교통범죄,258,12,3,4,2,7555,76,3,174,1535,1767,33334,139,182010,165428,119776
노동범죄,노동범죄,513,11,0,0,23,161,30,0,2,5,10,19,3,140,1251,210
안보범죄,안보범죄,6,0,0,0,0,14,0,1,0,4,0,4,23,0,56,18
선거범죄,선거범죄,27,0,0,3,1,175,0,2,1,7,15,70,43,128,948,435
병역범죄,병역범죄,214,0,0,0,2,980,7,3,35,2,6,205,50,3666,11959,1230
기타,기타,13872,512,35,55,552,13207,2677,51,455,2537,1661,18745,1969,20957,87483,43723
